aluminium antimonide,alsb
aluminium arsenide,alas
aluminium nitride,aln
aluminium oxide,al2o3
aluminium phosphide,alp
aluminium chloride,alcl3
aluminium fluoride,alf3
aluminium hydroxide,aloh3
aluminium nitrate,alno33
aluminium sulfate,al2so43
ammonia,nh3
ammonium azide,nh4n3
ammonium bicarbonate,nh4hco3
ammonium chromate,nh42cro4
ammonium cerium nitrate,nh42ceno36
ammonium chloride,nh4cl
ammonium chlorate,nh4clo3
ammonium cyanide,nh4cn
ammonium dichromate,nh42cr2o7
ammonium hydroxide,nh4oh
ammonium hexachloroplatinate,nh42ptcl6
ammonium nitrate,nh4no3
ammonium sulfide,nh42s4
ammonium sulfite,nh42so3
ammonium sulfate,nh42so4
ammonium persulfate,nh42s2o8
ammonium perchlorate,nh4clo4
ammonium tetrathiocyanatodiamminechromate 3,nh4crscn4nh32
antimony hydride,sbh3
antimony pentachloride,sbcl5
antimony pentafluoride,sbf5
antimony trioxide,sb2o3
arsine,ash3
arsenic trioxide ,as2o3
arsenous acid,asoh3
barium azide,ban33
barium chloride,bacl2
barium chromate,bacro4
barium chlorate,baclo3
barium carbonate,baco3
barium hydroxide,baoh2
barium iodide,bai2
barium nitrate,bano32
barium sulfate,baso4
barium fluoride,baf2
barium ferrite,bafe2o4
barium ferrate,bafeo4
barium titanate,batio3
barium oxide,bao
barium peroxide,bao2
beryllium bromide,bebr2
beryllium carbonate,beco3
beryllium chloride,becl2
beryllium fluoride,bef2
beryllium hydride,beh2
beryllium hydroxide,beoh2
beryllium iodide,bei2
beryllium nitrate,beno32
beryllium nitride,be3n2
beryllium oxide,beo
beryllium sulfate,beso4
beryllium sulfite,beso3
beryllium borohydride,bebh42
beryllium telluride,bete
bismuth 3 oxide,bi2o3
bismuth 3 telluride,bi2te3
borax,na2b4o7·10h2o
boric acid,h3bo3
boron carbide,b4c
boron nitride,bn
boron oxide,b2o3
boron suboxide,b6o
boron trichloride,bcl3
boron trifluoride,bf3
bromine pentafluoride,brf5
bromine trifluoride,brf3
bromine monochloride,brcl
cacodylic acid,ch32aso2h
cadmium arsenide,cd3as2
cadmium bromide,cdbr2
cadmium chloride,cdcl2
cadmium fluoride,cdf2
cadmium iodide,cdi2
cadmium nitrate,cdno32
cadmium selenide,cdse
cadmium sulfate,cdso4
cadmium telluride,cdte
caesium bicarbonate,cshco3
caesium carbonate,cs2co3
caesium chromate,cs2cro4
caesium chloride,cscl
caesium fluoride,csf
caesium hydride,csh
calcium carbide,cac2
calcium chlorate,caclo32
calcium chloride,cacl2
calcium chromate,cacro4
calcium cyanamide,cacn2
calcium fluoride,caf2
calcium hydride,cah2
calcium hydroxide,caoh2
calcium sulfate ,caso4
carbon dioxide,co2
carbon disulfide,cs2
carbon monoxide,co
carbonic acid,h2co3
carbon tetrabromide,cbr4
carbon tetrachloride,ccl4
carbon tetraiodide,ci4
carbonyl fluoride,cof2
carbonyl sulfide,cos
carboplatin,c6h12n2o4pt
carborundum,sic
cerium 3 chloride,cecl3
cerium 3 bromide,cebr3
cerium sulfate,ceso42
cerium magnesium,cemg
cerium aluminium,ceal
cerium zinc,cezn
cerium silver,ceag
cerium cadmium,cecd
cerium mercury,cehg
cerium thallium,cetl
chloric acid,hclo3
chlorine,cl2
chlorine monoxide,clo
chlorine dioxide,clo2
chlorine trioxide,clo3
dichlorine monoxide,cl2o
dichlorine dioxide,cl2o2
dichlorine trioxide,cl2o3
dichlorine tetroxide,cloclo3
dichlorine hexoxide,cl2o6
dichlorine heptoxide,cl2o7
"chlorine tetroxide, the peroxide",o3clooclo3
chromic acid,cro3
chromium 3 chloride,crcl3
chromium 2 chloride,crcl2
chromium 3 oxide,cr2o3
chromium oxide,cro2
chromium 2 sulfate,crso4
chromium trioxide ,cro3
chromyl chloride,cro2cl2
cisplatin ,ptcl2nh32
cobalt 2 bromide,cobr2
cobalt 2 chloride,cocl2
cobalt 2 carbonate,coco3
cobalt 2 sulfate,coso4
columbite,fe2+nb2o6
copper 2 azide,cun32
copper 2 carbonate,cuco3
copper chloride,cucl
copper 2 chloride,cucl2
copper 2 hydroxide,cuoh2
copper 2 nitrate,cuno32
copper oxide,cu2o
copper 2 oxide,cuo
copper 2 sulfate,cuso4
copper sulfide,cu2s
copper 2 sulfide,cus
cyanogen,cn2
cyanogen chloride,cncl
cyanuric chloride,c3cl3n3
cyanogen bromide,cnbr
cyanogen iodide,icn
chrome-alum,k2so4cr2so43.24h2o
decaborane ,b10h14
diammonium phosphate,nh42hpo4
diborane,b2h6
dichlorosilane,sih2cl2
digallane,ga2h6
dinitrogen pentoxide ,n2o5
dinitrogen tetroxide,n2o4
disilane,si2h6
disulfur dichloride,s2cl2
dysprosium 3 chloride,dycl3
dysprosium oxide,dy2o3
dysprosium titanate,dy2ti2o7
erbium 3 chloride,ercl3
europium 3 chloride,eucl3
erbium-copper,ercu
erbium-gold,erau
erbium-silver,erag
erbium-iridium,erir
gadolinium 3 chloride,gdcl3
gadolinium 3 oxide,gd2o3
gallium antimonide,gasb
gallium arsenide,gaas
gallium trichloride,gacl3
gallium nitride,gan
gallium phosphide,gap
germane,geh4
digermane,ge2h6
germanium 2 fluoride,gef2
germanium fluoride,gef4
germanium 2 chloride,gecl2
germanium chloride,gecl4
germanium 2 bromide,gebr2
germanium bromide,gebr4
germanium 2 iodide,gei2
germanium iodide,gei4
germanium 2 oxide,geo
germanium oxide,geo2
germanium 2 sulfide,ges
germanium sulfide,ges2
germanium 2 selenide,gese
germanium selenide,gese2
germanium telluride,gete
germanium nitride,ge3n4
gold chloride,aucl
gold 3 chloride,aucl3
gold chloride,au4cl8
gold 3 chloride,aucl32
gold 3 fluoride,auf3
gold fluoride,auf5
gold bromide,aubr
gold 3 bromide,aubr32
gold iodide,aui
gold 3 iodide,aui3
gold hydride,auh
gold 3 oxide,au2o3
gold sulfide,au2s
gold 3 sulfide,au2s3
gold 3 selenide,ause
gold 3 selenide,au2se3
gold ditelluride,aute2
hafnium tetrafluoride,hff4
hafnium tetrachloride,hfcl4
hexadecacarbonylhexarhodium,rh6co16
hydrazine,n2h4
hydrazoic acid,hn3
hydrobromic acid,hbr
hydrochloric acid,hcl
hydroiodic acid,hi
hydrogen bromide,hbr
hydrogen chloride,hcl
hydrogen fluoride,hf
hydrogen peroxide,h2o2
hydrogen selenide,h2se
hydrogen sulfide,h2s
hydrogen telluride,h2te
hydroxylamine,nh2oh
hypochlorous acid,hclo
hypophosphorous acid,h3po2
indium antimonide,insb
indium arsenide,inas
indium chloride,incl
indium nitride,inn
indium phosphide,inp
iodic acid,hio3
iodine heptafluoride,if7
iodine pentafluoride,if5
iodine monochloride,icl
iodine trichloride,icl3
iridium chloride,ircl4
iron 2 chloride,fecl2
iron 3 chloride,fecl3
iron ferrocyanide,fe7cn18
iron 2 oxide,feo
iron 3 nitrate,feno33h2o9
iron oxide,fe3o4
iron 3 oxide,fe2o3
iron 3 thiocyanate,fescn3
krypton difluoride,krf2
lanthanum carbonate,la2co33
lanthanum magnesium,lamg
lanthanum aluminium,laal
lanthanum zinc,lazn
lanthanum silver,laag
lanthanum cadmium,lacd
lanthanum mercury,lahg
lanthanum tallium,latl
lead 2 carbonate,pbco3
lead 2 chloride,pbcl2
lead 2 iodide,pbi2
lead 2 nitrate,pbno32
lead hydrogen arsenate,pbhaso4
lead 2 oxide,pbo
lead oxide,pbo2
lead 2 phosphate,pb3po42
lead 2 sulfate,pbso4
lead 2 selenide,pbse
lead 2 sulfide,pbs
lead 2 telluride,pbte
lithium aluminium hydride,lialh4
lithium bromide,libr
lithium borohydride,libh4
lithium carbonate ,li2co3
lithium chloride,licl
lithium hypochlorite,liclo
lithium chlorate,liclo3
lithium perchlorate,liclo4
lithium cobalt oxide,licoo2
lithium peroxide,li2o2
lithium hydride,lih
lithium hydroxide,lioh
lithium iodide,lii
lithium iron phosphate,felio4p
lithium nitrate,lino3
lithium sulfide,li2s
lithium sulfite,hlio3s
lithium sulfate,li2so4
lithium superoxide,lio2
magnesium antimonide,mgsb
magnesium carbonate,mgco3
magnesium chloride,mgcl2
magnesium oxide,mgo
